Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Homebuilding,32,1.37,10.18%,85.90%,32.31%,5.09%,17.22%,3.81%,14.10%,0.09282,9.28%
Hospitals/Healthcare Facilities,32,0.88,7.93%,55.63%,46.33%,5.09%,6.86%,3.81%,44.37%,0.06102,6.10%
Hotel/Gaming,68,1.34,10.06%,67.26%,40.80%,5.09%,8.63%,3.81%,32.74%,0.08015,8.02%
Household Products,93,0.84,7.76%,85.80%,51.12%,5.35%,8.21%,4.01%,14.20%,0.07228,7.23%
Information Services,18,0.93,8.16%,73.71%,33.83%,5.09%,15.79%,3.81%,26.29%,0.07019,7.02%
Insurance (General),21,1.03,8.63%,79.41%,40.38%,5.09%,13.69%,3.81%,20.59%,0.07640,7.64%
Insurance (Life),23,0.77,7.40%,52.02%,30.85%,5.09%,10.18%,3.81%,47.98%,0.05681,5.68%
Insurance (Prop/Cas.),50,0.74,7.28%,83.76%,27.40%,5.09%,12.42%,3.81%,16.24%,0.06716,6.72%
Investments & Asset Management,334,0.46,5.98%,71.26%,15.15%,4.50%,11.33%,3.38%,28.74%,0.05234,5.23%
Machinery,103,1.03,8.60%,85.57%,33.44%,5.09%,11.73%,3.81%,14.43%,0.07909,7.91%
Metals & Mining,68,0.96,8.31%,86.34%,60.56%,5.35%,2.00%,4.01%,13.66%,0.07721,7.72%
Office Equipment & Services,17,1.14,9.12%,65.54%,30.28%,5.09%,17.12%,3.81%,34.46%,0.07293,7.29%
Oil/Gas (Integrated),4,0.67,6.96%,88.89%,26.44%,5.09%,21.18%,3.81%,11.11%,0.06615,6.61%
Oil/Gas (Production and Exploration),166,0.93,8.16%,81.12%,46.31%,5.09%,5.61%,3.81%,18.88%,0.07337,7.34%
Oil/Gas Distribution,24,0.79,7.52%,58.75%,32.55%,5.09%,9.25%,3.81%,41.25%,0.05990,5.99%
Oilfield Svcs/Equip.,100,0.98,8.39%,75.68%,43.73%,5.09%,10.88%,3.81%,24.32%,0.07274,7.27%
Packaging & Container,22,1.13,9.09%,62.01%,26.24%,5.09%,18.12%,3.81%,37.99%,0.07086,7.09%
Paper/Forest Products,7,1.94,12.80%,72.80%,43.04%,5.09%,12.91%,3.81%,27.20%,0.10352,10.35%
Power,50,0.65,6.87%,51.83%,20.39%,4.50%,13.69%,3.38%,48.17%,0.05190,5.19%
Precious Metals,61,0.87,7.88%,86.80%,63.61%,5.35%,1.98%,4.01%,13.20%,0.07367,7.37%
Publishing & Newspapers,21,0.96,8.30%,75.49%,38.20%,5.09%,10.01%,3.81%,24.51%,0.07201,7.20%
R.E.I.T.,193,1.03,8.63%,55.85%,23.72%,4.50%,1.95%,3.38%,44.15%,0.06309,6.31%
Real Estate (Development),17,0.67,6.96%,51.52%,34.24%,5.09%,1.45%,3.81%,48.48%,0.05433,5.43%
Real Estate (General/Diversified),11,0.56,6.47%,75.83%,35.91%,5.09%,13.21%,3.81%,24.17%,0.05830,5.83%
Real Estate (Operations & Services),60,1.08,8.85%,69.17%,44.19%,5.09%,4.29%,3.81%,30.83%,0.07297,7.30%
Recreation,55,1.17,9.27%,63.06%,44.30%,5.09%,8.26%,3.81%,36.94%,0.07253,7.25%
Reinsurance,1,0.66,6.89%,70.16%,17.09%,4.50%,22.95%,3.38%,29.84%,0.05845,5.84%
Restaurant/Dining,64,1.19,9.38%,79.54%,35.37%,5.09%,11.41%,3.81%,20.46%,0.08237,8.24%
Retail (Automotive),30,1.49,10.75%,63.49%,46.79%,5.09%,13.50%,3.81%,36.51%,0.08220,8.22%
Retail (Building Supply),16,1.94,12.80%,83.39%,45.21%,5.09%,12.59%,3.81%,16.61%,0.11304,11.30%
Retail (Distributors),62,1.11,8.97%,75.59%,37.74%,5.09%,15.76%,3.81%,24.41%,0.07710,7.71%
Retail (General),26,1.25,9.61%,88.16%,38.28%,5.09%,14.58%,3.81%,11.84%,0.08928,8.93%
Retail (Grocery and Food),14,0.49,6.15%,64.17%,25.65%,5.09%,16.88%,3.81%,35.83%,0.05313,5.31%
Retail (REITs),28,1.12,9.04%,62.96%,20.72%,4.50%,2.53%,3.38%,37.04%,0.06940,6.94%
Retail (Special Lines),105,1.18,9.31%,73.45%,44.01%,5.09%,9.53%,3.81%,26.55%,0.07854,7.85%
Retail (Online),105,1.18,9.31%,73.45%,44.01%,5.09%,9.53%,3.81%,26.55%,0.11378,0.11378
Rubber& Tires,3,0.67,6.98%,29.83%,40.77%,5.09%,0.00%,3.81%,70.17%,0.04759,4.76%
Semiconductor,63,1.50,10.76%,94.30%,41.47%,5.09%,4.89%,3.81%,5.70%,0.10362,10.36%
Semiconductor Equip,30,1.53,10.91%,92.78%,37.04%,5.09%,12.14%,3.81%,7.22%,0.10397,10.40%
Shipbuilding & Marine,8,0.81,7.61%,77.06%,45.07%,5.09%,6.74%,3.81%,22.94%,0.06739,6.74%
Shoe,13,1.29,9.82%,91.99%,36.28%,5.09%,11.31%,3.81%,8.01%,0.09340,9.34%
Software (Entertainment),84,1.11,8.98%,96.94%,52.79%,5.35%,5.11%,4.01%,3.06%,0.08827,8.83%
Software (Internet),35,1.62,11.31%,89.30%,65.22%,6.09%,2.61%,4.57%,10.70%,0.10592,10.59%
Software (System & Application),351,1.29,9.83%,94.16%,52.09%,5.35%,4.19%,4.01%,5.84%,0.09492,9.49%
Steel,29,1.13,9.06%,83.21%,38.10%,5.09%,15.72%,3.81%,16.79%,0.08180,8.18%
Telecom (Wireless),13,1.09,8.88%,60.92%,60.31%,5.35%,9.56%,4.01%,39.08%,0.06979,6.98%
Telecom. Equipment,66,1.08,8.85%,89.75%,46.62%,5.09%,6.20%,3.81%,10.25%,0.08334,8.33%
Telecom. Services,42,0.78,7.49%,44.46%,50.42%,5.35%,6.62%,4.01%,55.54%,0.05559,5.56%
Tobacco,16,1.22,9.51%,74.13%,48.00%,5.09%,9.95%,3.81%,25.87%,0.08034,8.03%
Transportation,36,1.26,9.67%,74.86%,53.12%,5.35%,6.53%,4.01%,25.14%,0.08248,8.25%
Transportation (Railroads),4,1.02,8.56%,78.86%,22.28%,4.50%,17.28%,3.38%,21.14%,0.07464,7.46%
Trucking,22,1.15,9.16%,83.37%,28.33%,5.09%,20.21%,3.81%,16.63%,0.08273,8.27%
Utility (General),14,0.58,6.55%,54.10%,14.93%,4.50%,14.05%,3.38%,45.90%,0.05094,5.09%
Utility (Water),13,0.71,7.16%,66.27%,28.20%,5.09%,11.09%,3.81%,33.73%,0.06034,6.03%
Total Market,6481,1.00,8.48%,68.30%,42.03%,5.09%,8.35%,3.81%,31.70%,0.07001,7.00%
Total Market (without financials),5214,1.10,8.93%,81.57%,47.00%,5.09%,6.80%,3.81%,18.43%,0.07986,7.99%
