Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital,Cost of Capital (Local Currency)
Retail (Special Lines),76,1.443392781,0.0762998539,0.7420894119,0.4557234611,0.03578,0.1467496102,0.0261194,0.2579105881,0.06335778353,0.06335778353
Rubber& Tires,2,1.156505518,0.06413583397,0.3928439665,0.4705504229,0.03578,0.1741573034,0.0261194,0.6071560335,0.04105392671,0.04105392671
Semiconductor,67,1.16245448,0.06438806994,0.9365336689,0.3745636209,0.0316,0.06800429438,0.023068,0.06346633107,0.0617656367,0.0617656367
Semiconductor Equip,34,1.33903839,0.07187522775,0.9520217794,0.3322279412,0.0316,0.09189138641,0.023068,0.04797822064,0.06953354381,0.06953354381
Shipbuilding & Marine,8,0.9910985393,0.05712257807,0.724827131,0.5103733244,0.03578,0.03191536666,0.0261194,0.275172869,0.04859134461,0.04859134461
Shoe,12,1.185821146,0.06537881657,0.9453870872,0.347148798,0.0316,0.09859622653,0.023068,0.05461291281,0.06306809963,0.06306809963
Software (Entertainment),88,1.204017909,0.06615035933,0.9800205409,0.5460597296,0.03578,0.02214746199,0.0261194,0.01997945911,0.06535056241,0.06535056241
Software (Internet),36,1.004379674,0.05768569818,0.9287230137,0.3809399769,0.0316,0.01293455218,0.023068,0.07127698628,0.05521825298,0.05521825298
Software (System & Application),375,1.141461704,0.06349797626,0.9462685171,0.4573989626,0.03578,0.03360292111,0.0261194,0.05373148289,0.06148956993,0.06148956993
Steel,28,1.133169454,0.06314638487,0.7526102959,0.3312819698,0.0316,0.1330049206,0.023068,0.2473897041,0.05323140509,0.05323140509
Telecom (Wireless),17,0.9647612227,0.05600587584,0.5608285882,0.4815767867,0.03578,0.03262065648,0.0261194,0.4391714118,0.04288059005,0.04288059005
Telecom. Equipment,82,1.083144982,0.06102534723,0.9196918543,0.4052926312,0.03578,0.05294323033,0.0261194,0.08030814573,0.05822211533,0.05822211533
Telecom. Services,42,0.8460184527,0.05097118239,0.4987950229,0.3867232424,0.0316,0.05855360277,0.023068,0.5012049771,0.0369859685,0.0369859685
Tobacco,16,0.9973526,0.05738775024,0.7937682669,0.248828344,0.025,0.08225989274,0.01825,0.2062317331,0.04931630417,0.04931630417
Transportation,17,0.7910778149,0.04864169935,0.8136856409,0.2833532544,0.0316,0.1439795107,0.023068,0.1863143591,0.04387695195,0.04387695195
Transportation (Railroads),4,0.7324469614,0.04615575116,0.8337681492,0.1639417942,0.025,0.1734089073,0.01825,0.1662318508,0.0415169265,0.0415169265
Trucking,34,1.438716277,0.07610157013,0.7920308763,0.3299177377,0.0316,0.1604144541,0.023068,0.2079691237,0.06507222502,0.06507222502
Utility (General),16,0.8917945951,0.05291209083,0.5909581743,0.1882820076,0.025,0.09751933558,0.01825,0.4090418257,0.03873384592,0.03873384592
Utility (Water),14,0.7653050373,0.04754893358,0.7443718631,0.2709446185,0.0316,0.1000614102,0.023068,0.2556281369,0.04129091814,0.04129091814
Total Market,7229,1.094679138,0.06151439545,0.7138443892,0.410137441,0.03578,0.07046231522,0.0261194,0.2861556108,0.05138591891,0.05138591891
Total Market (without financials),5619,1.148577948,0.06379970501,0.8333731263,0.4499155582,0.03578,0.06008327571,0.0261194,0.1666268737,0.05752115358,0.05752115358
