ticker,industry
NWBI,Banks (Regional)
NWFL,Banks (Regional)
BKOR,Banks (Regional)
OVLY,Banks (Regional)
OAKV,Banks (Regional)
OCFC,Banks (Regional)
OFG,Banks (Regional)
OVBC,Banks (Regional)
ONB,Banks (Regional)
OPOF,Banks (Regional)
OSBC,Banks (Regional)
OPHC,Banks (Regional)
OBT,Banks (Regional)
ORBN,Banks (Regional)
ORPB,Banks (Regional)
OBNK,Banks (Regional)
ORRF,Banks (Regional)
OXBC,Banks (Regional)
PFLC,Banks (Regional)
PPBI,Banks (Regional)
PVBK,Banks (Regional)
PWBO,Banks (Regional)
PACW,Banks (Regional)
PGNN,Banks (Regional)
PRK,Banks (Regional)
PKBK,Banks (Regional)
PTRS,Banks (Regional)
PBKX,Banks (Regional)
PBHC,Banks (Regional)
CASH,Banks (Regional)
PNBK,Banks (Regional)
PBCO,Banks (Regional)
PCB,Banks (Regional)
PCSB,Banks (Regional)
IDFB,Banks (Regional)
PGC,Banks (Regional)
PWOD,Banks (Regional)
PEBO,Banks (Regional)
PEBK,Banks (Regional)
PEBC,Banks (Regional)
PFBX,Banks (Regional)
PFIS,Banks (Regional)
PPLL,Banks (Regional)
PCLB,Banks (Regional)
PBNK,Banks (Regional)
PPBN,Banks (Regional)
PNFP,Banks (Regional)
PBKC,Banks (Regional)
PLBC,Banks (Regional)
BPOP,Banks (Regional)
PTBS,Banks (Regional)
PFBC,Banks (Regional)
PFC,Banks (Regional)
PMHG,Banks (Regional)
FRST,Banks (Regional)
PBAM,Banks (Regional)
PFHD,Banks (Regional)
PB,Banks (Regional)
PSBP,Banks (Regional)
PSBQ,Banks (Regional)
QCRH,Banks (Regional)
QNBC,Banks (Regional)
RBAZ,Banks (Regional)
RBB,Banks (Regional)
RRBI,Banks (Regional)
RWCB,Banks (Regional)
RF,Banks (Regional)
RNST,Banks (Regional)
RBCA.A,Banks (Regional)
FRBK,Banks (Regional)
RMBI,Banks (Regional)
RCBC,Banks (Regional)
RVCB,Banks (Regional)
RBNK,Banks (Regional)
RVSB,Banks (Regional)
STBA,Banks (Regional)
SAL,Banks (Regional)
SASR,Banks (Regional)
SCZC,Banks (Regional)
